date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,telegram
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,under,total_barons 1.5,7.33%,1.04,1.12,BET365,url não disponível,pending,0.0
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_dragons 4.5,5.36%,1.16,1.22,BET365,url não disponível,pending,0.0
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_towers 11.5,23.70%,1.27,1.57,BET365,url não disponível,pending,0.0
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_kills 24.5,26.16%,1.45,1.83,BET365,url não disponível,pending,0.0
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_inhibitors 1.5,12.71%,1.53,1.72,BET365,url não disponível,pending,0.0
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_barons 1.5,11.00%,1.0,1.11,BET365,url não disponível,pending,0.0
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_dragons 4.5,6.25%,2.35,2.5,BET365,url não disponível,pending,0.0
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,over,total_kills 28.5,9.80%,1.67,1.83,BET365,url não disponível,pending,0.0
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_inhibitors 1.5,14.00%,1.67,1.9,BET365,url não disponível,pending,0.0
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,total_towers 11.5,11.16%,2.02,2.25,BET365,url não disponível,pending,0.0
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_kills 27.5,22.00%,1.5,1.83,BET365,url não disponível,pending,0.0
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,game_duration 30.5,15.46%,1.58,1.83,BET365,url não disponível,pending,0.0
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_inhibitors 1.5,8.33%,1.85,2.0,BET365,url não disponível,pending,0.0
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,20.00%,1.75,2.1,BET365,url não disponível,pending,0.0
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,22.14%,1.56,1.9,BET365,url não disponível,pending,0.0
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,14.29%,3.5,4.0,BET365,url não disponível,pending,0.0
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,game_duration 31.5,14.38%,1.6,1.83,BET365,url não disponível,pending,0.0
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,total_inhibitors 1.5,15.00%,1.74,2.0,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,24.43%,1.9,2.37,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,49.88%,1.47,2.2,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,18.95%,1.54,1.83,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,29.24%,1.42,1.83,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_inhibitors 1.5,9.69%,2.05,2.25,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,18.87%,1.12,1.33,BET365,url não disponível,pending,0.0
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,27.50%,2.35,3.0,BET365,url não disponível,pending,0.0
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_dragons 4.5,45.07%,1.55,2.25,BET365,url não disponível,pending,0.0
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,game_duration 32.5,29.34%,1.41,1.83,BET365,url não disponível,pending,0.0
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_barons 1.5,7.55%,1.19,1.28,BET365,url não disponível,pending,0.0
23 Mai 2025 13:00,LFL,Vitality.Bee,BK ROG Esports,under,total_towers 12.5,8.45%,1.48,1.61,BET365,url não disponível,pending,0.0
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,26.58%,1.45,1.83,BET365,url não disponível,pending,0.0
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,under,total_inhibitors 1.5,26.00%,1.43,1.8,BET365,url não disponível,pending,0.0
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_barons 1.5,5.00%,3.33,3.5,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_dragons 4.5,21.57%,2.06,2.5,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,game_duration 34.5,15.63%,1.58,1.83,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_inhibitors 1.5,27.36%,1.49,1.9,BET365,url não disponível,pending,0.0
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,over,total_barons 1.5,17.58%,3.4,4.0,BET365,url não disponível,pending,0.0
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_towers 12.5,22.40%,1.25,1.53,BET365,url não disponível,pending,0.0
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_kills 29.5,18.95%,1.54,1.83,BET365,url não disponível,pending,0.0
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_inhibitors 1.5,14.00%,1.67,1.9,BET365,url não disponível,pending,0.0
23 Mai 2025 18:00,NACL,Winthrop University,Near Airport,over,total_kills 27.5,11.01%,1.65,1.83,BET365,url não disponível,pending,0.0
28 Mai 2025 14:00,EBL,Partizan Sangal,SPIKE Syndicate,under,total_kills 33.5,12.30%,1.63,1.83,BET365,url não disponível,pending,0.0
28 Mai 2025 13:00,PRM,Berlin International Gaming,ROSSMANN Centaurs,under,game_duration 31.5,14.38%,1.6,1.83,BET365,url não disponível,pending,0.0
31 Mai 2025 06:00,NLC,Los Ratones,The Ruddy Sack,under,total_kills 34.5,8.02%,1.69,1.83,BET365,url não disponível,pending,0.0
31 Mai 2025 06:00,NLC,Los Ratones,The Ruddy Sack,over,game_duration 30.5,16.92%,1.57,1.83,BET365,url não disponível,pending,0.0
31 Mai 2025 06:00,NLC,Los Ratones,The Ruddy Sack,over,total_inhibitors 1.5,12.30%,1.4,1.57,BET365,url não disponível,pending,0.0
31 Mai 2025 06:00,NLC,Los Ratones,The Ruddy Sack,over,total_barons 1.5,12.85%,2.88,3.25,BET365,url não disponível,pending,0.0
30 Mai 2025 13:00,LEC,GiantX,Barça eSports,under,total_towers 12.5,18.82%,1.68,2.0,BET365,url não disponível,pending,
30 Mai 2025 13:00,LEC,GiantX,Barça eSports,under,game_duration 33.5,14.11%,1.6,1.83,BET365,url não disponível,pending,
30 Mai 2025 13:00,LEC,GiantX,Barça eSports,under,total_barons 1.5,8.29%,1.29,1.4,BET365,url não disponível,pending,
